Question,Answer,Category,Level,Source
What is a Mutex?  ,"A Mutex is a mutually exclusive flag. It acts as a gate keeper to synchronise two threads. When you have two threads attempting to access a single resource, the general pattern is to have the first block of code attempting access, to set the mutex before entering the code. When the second code block attempts access, it sees that the mutex is set and waits until the first block of code is complete (and un-sets the mutex), then continues.
Specific details of how this is accomplished obviously varies greatly by programming language.",Concurrency,Junior,https://www.fullstack.cafe/
What is a Deadlock?  ,"A lock occurs when multiple processes try to access the same resource at the same time. One process loses out and must wait for the other to finish.
A deadlock occurs when the waiting process is still holding on to another resource that the first needs before it can finish.


So, an example:
Resource A and resource B are used by process X and process Y
X starts to use A.
X and Y try to start using B
Y 'wins' and gets B first
now Y needs to use A
A is locked by X, which is waiting for Y
Thread 1               Thread 2

Lock1->Lock();         Lock2->Lock();
WaitForLock2();        WaitForLock1();   <-- Oops!
The best way to avoid deadlocks is to avoid having processes cross over in this way. Reduce the need to lock anything as much as you can. In databases avoid making lots of changes to different tables in a single transaction, avoid triggers and switch to optimistic/dirty/nolock reads as much as possible.",Concurrency,Junior,https://stackoverflow.com/questions/34512/what-is-a-deadlock
Explain the difference between Asynchronous and Parallel programming?  ,"When you run something asynchronously it means it is non-blocking, you execute it without waiting for it to complete and carry on with other things. Parallelism means to run multiple things at the same time, in parallel. Parallelism works well when you can separate tasks into independent pieces of work. Async and Callbacks are generally a way (tool or mechanism) to express concurrency i.e. a set of entities possibly talking to each other and sharing resources.
Take for example rendering frames of a 3D animation. To render the animation takes a long time so if you were to launch that render from within your animation editing software you would make sure it was running asynchronously so it didn't lock up your UI and you could continue doing other things. Now, each frame of that animation can also be considered as an individual task. If we have multiple CPUs/Cores or multiple machines available, we can render multiple frames in parallel to speed up the overall workload.",Concurrency,Junior,"https://stackoverflow.com/questions/6133574/how-to-articulate-the-difference-between-asynchronous-and-parallel-programming#:~:text=13%20Answers&text=When%20you%20run%20something%20asynchronously,into%20independent%20pieces%20of%20work."
What is a Race Condition?  ,"A race condition is a situation on concurrent programming where two concurrent threads or processes compete for a resource and the resulting final state depends on who gets the resource first.
Because the thread scheduling algorithm can swap between threads at any time, you don't know the order in which the threads will attempt to access the shared data. Therefore, the result of the change in data is dependent on the thread scheduling algorithm, i.e. both threads are ""racing"" to access/change the data.
Problems often occur when one thread does a ""check-then-act"" (e.g. ""check"" if the value is X, then ""act"" to do something that depends on the value being X) and another thread does something to the value in between the ""check"" and the ""act"". E.g:
if (x == 5) // The ""Check""
{
   y = x * 2; // The ""Act""

   // If another thread changed x in between ""if (x == 5)"" and ""y = x * 2"" above,
   // y will not be equal to 10.
}
The point being, y could be 10, or it could be anything, depending on whether another thread changed x in between the check and act. You have no real way of knowing.
In order to prevent race conditions from occurring, you would typically put a lock (Mutex or Semaphores) around the shared data to ensure only one thread can access the data at a time. This would mean something like this:
// Obtain lock for x
if (x == 5)
{
   y = x * 2; // Now, nothing can change x until the lock is released. 
              // Therefore y = 10
}
// release lock for x",Concurrency,Mid,https://stackoverflow.com/questions/34510/what-is-a-race-condition
What is the meaning of the term “Thread-Safe”?  ,"Problem
Does it mean that two threads can't change the underlying data simultaneously? Or does it mean that the given code segment will run with predictable results when multiple threads are executing that code segment?
Answer
Thread-safe code is code that will work even if many Threads are executing it simultaneously within the same process. This often means, that internal data-structures or operations that should run uninterrupted are protected against different modifications at the same time.
Another definition may be like - a class is thread-safe if it behaves correctly when accessed from multiple threads, regardless of the scheduling or interleaving of the execution of those threads by the runtime environment, and with no additional synchronisation or other coordination on the part of the calling code.",Concurrency,Mid,https://stackoverflow.com/questions/261683/what-is-the-meaning-of-the-term-thread-safe
Explain Deadlock to 5 years old  ,"Jack and Jill share a sparse kitchen that has only one of everything. They both want to make a sandwich at the same time. Each needs a slice of bread and each needs a knife, so they both go to get the loaf of bread and the knife from the kitchen.
Jack gets the knife first, while Jill gets the loaf of bread first. Now Jack tries to find the loaf of bread and Jill tries to find the knife, but both find that what they need to finish the task is already in use. If they both decide to wait until what they need is no longer in use, they will wait for each other forever. Deadlock.",Concurrency,Mid,https://stackoverflow.com/questions/2143873/how-to-explain-the-deadlock-better
Is there any difference between a Binary Semaphore and Mutex?  ,"A mutex (or Mutual Exclusion Semaphores) is a locking mechanism used to synchronize access to a resource. Only one task (can be a thread or process based on OS abstraction) can acquire the mutex. It means there will be ownership associated with mutex, and only the owner can release the lock (mutex).
Semaphore (or Binary Semaphore) is signaling mechanism (“I am done, you can carry on” kind of signal). For example, if you are listening songs (assume it as one task) on your mobile and at the same time your friend called you, an interrupt will be triggered upon which an interrupt service routine (ISR) will signal the call processing task to wakeup. A binary semaphore is NOT protecting a resource from access. Semaphores are more suitable for some synchronization problems like producer-consumer.
Short version:
A mutex can be released only by the thread that had acquired it.
A binary semaphore can be signaled by any thread (or process).",Concurrency,Mid,https://stackoverflow.com/questions/62814/difference-between-binary-semaphore-and-mutex
How much work should I place inside a lock statement?  ,"It is first and foremost a question of correctness. You should not care so much about efficiency trade-offs, but more about correctness.
Do as little work as possible while locking a particular object. Locks that are held for a long time are subject to contention, and contention is slow. Note that this implies that the total amount of code in a particular lock and the total amount of code in all lock statements that lock on the same object are both relevant.
Have as few locks as possible, to make the likelihood of deadlocks (or livelocks) lower.
If you want concurrency, use processes as your unit of concurrency. If you cannot use processes then use application domains. If you cannot use application domains, then have your threads managed by the Task Parallel Library and write your code in terms of high-level tasks (jobs) rather than low-level threads (workers).
Benchmarking and being aware that there are more options than ""lock everything everywhere"" and ""lock only the bare minimum"".",Concurrency,Mid,https://softwareengineering.stackexchange.com/questions/278476/how-much-work-should-i-place-inside-a-lock-statement
Write a function that guarantees to never return the same value twice,"Problem
Write a function that is guaranteed to never return the same value twice. Assume that this function will be accessed by multiple machines concurrently.
Answer
Just toss a simple (threadsafe) counter behind some communication endpoint:
long x = long.MinValue;
public long ID(){
   return Interlocked.Increment(ref x);
}
Let interviewer be the one that follow up with those problems:
Does it need to survive reboots?
What about hard drive failure?
What about nuclear war?
Does it need to be random?
How random?
If they made it clear that it has to be unique across reboots and across different machines, I'd give them a function that calls into the standard mechanism for creating a new GUID, whatever that happens to be in the language being used. This is basically the problem that guids solve. Producing a duplicate Guid, no matter its format, is the most difficult lottery on the planet.",Concurrency,Mid,https://softwareengineering.stackexchange.com/questions/263595/function-guaranteed-to-never-return-the-same-value-twice
What is the difference between Concurrency and Parallelism?,"Concurrency is when two or more tasks can start, run, and complete in overlapping time periods. It doesn't necessarily mean they'll ever both be running at the same instant. For example, multitasking on a single-core machine.
Parallelism is when tasks literally run at the same time, e.g., on a multicore processor.
For instance a bartender is able to look after several customers while he can only prepare one beverage at a time. So he can provide concurrency without parallelism.",Concurrency,Mid,https://stackoverflow.com/questions/1050222/what-is-the-difference-between-concurrency-and-parallelism
Explain what is a Race Condition to 5 years old  ,"You are planning to go to a movie at 5 pm. You inquire about the availability of the tickets at 4 pm. The representative says that they are available.
You relax and reach the ticket window 5 minutes before the show. I'm sure you can guess what happens: it's a full house.
The problem here was in the duration between the check and the action. You inquired at 4 and acted at 5. In the meantime, someone else grabbed the tickets. That's a race condition - specifically a ""check-then-act"" scenario of race conditions.",Concurrency,Senior,https://stackoverflow.com/questions/34510/what-is-a-race-condition
What is a Data Race?  ,"A data race happens when there are two memory accesses in a program where both:
target the same location
are performed concurrently by two threads
are not reads
are not synchronization operations",Concurrency,Senior,https://blog.regehr.org/archives/490
What's the difference between Deadlock and Livelock?,"In concurrent computing, a deadlock is a state in which each member of a group of actions, is waiting for some other member to release a lock
A livelock is similar to a deadlock, except that the states of the processes involved in the livelock constantly change with regard to one another, none progressing. Livelock is a special case of resource starvation; the general definition only states that a specific process is not progressing.
Livelock is a risk with some algorithms that detect and recover from deadlock. If more than one process takes action, the deadlock detection algorithm can be repeatedly triggered. This can be avoided by ensuring that only one process (chosen randomly or by priority) takes action.",Concurrency,Senior,http://en.wikipedia.org/wiki/Deadlock
Provide some real-live examples of Livelock,"A real-world example of livelock occurs when two people meet in a narrow corridor, and each tries to be polite by moving aside to let the other pass, but they end up swaying from side to side without making any progress because they both repeatedly move the same way at the same time.
Example of livelock will happen where a husband and wife are trying to eat soup, but only have one spoon between them. Each spouse is too polite, and will pass the spoon if the other has not yet eaten.
Deadlock detection may cause livelock. If two threads detect a deadlock, and try to ""step aside"" for each other, without care they will end up being stuck in a loop always ""stepping aside"" and never managing to move forwards.",Concurrency,Senior,https://stackoverflow.com/questions/6155951/whats-the-difference-between-deadlock-and-livelock
What are some advantages of Lockless Concurrency?  ,"Lockless concurrency eliminates deadlocks and provides the nice advantage that readers never have to wait for other readers. This is especially useful when many threads will be reading data from a single source.
Lockless programming, is a set of techniques for safely manipulating shared data without using locks. There are lockless algorithms available for passing messages, sharing lists and queues of data, and other tasks. Lockless programming is pretty complicated. e.g. All purely functional data structures are inherently lock-free, since they are immutable.",Concurrency,Senior,https://stackoverflow.com/questions/1360729/why-is-lockless-concurrency-such-a-big-deal-in-clojure/1363908#1363908
What is Starvation?  ,"Starvation describes a situation where a thread is unable to gain regular access to shared resources and is unable to make progress. This happens when shared resources are made unavailable for long periods by ""greedy"" threads or threads with more ""prioroty"". For example, suppose an object provides a synchronized method that often takes a long time to return. If one thread invokes this method frequently, other threads that also need frequent synchronized access to the same object will often be blocked.
One more real live example may be this one. Imagine you're in a queue to purchase food at a restaurant, for which pregnant women have priority. And there's just a whole bunch of pregnant women arriving all the time. You'll soon be starving.",Concurrency,Senior,https://docs.oracle.com/javase/tutorial/essential/concurrency/starvelive.html
Compare Actor Model with Threading Model for concurrency  ,"The actor model operates on message passing. Individual processes (actors) are allowed to send messages asynchronously to each other.
What distinguishes this from what we normally think of as the threading model, is that there is (in theory at least) no shared state. And if one believes (justifiably, I think) that shared state is the root of all evil, then the actor model becomes very attractive.",Concurrency,Senior,https://stackoverflow.com/questions/3583137/how-does-actors-work-compared-to-threads
What is Green Thread?  ,"A Green Thread is a thread that is scheduled by a virtual machine (VM) instead of natively by the underlying operating system. Green threads emulate multithreaded environments without relying on any native OS capabilities, and they are managed in user space instead of kernel space, enabling them to work in environments that do not have native thread support.
Green Thread usually used when the OS does not provide a thread API, or it doesn't work the way you need. Thus, the advantage is that you get thread-like functionality at all. The disadvantage is that green threads can't actually use multiple cores. In the context of Java specifically, there were a few early JVMs that used green threads (IIRC the Blackdown JVM port to Linux did), but nowadays all mainstream JVMs use real threads. There may be some embedded JVMs that still use green threads.",Concurrency,Senior,https://softwareengineering.stackexchange.com/questions/254140/is-there-a-difference-between-fibers-coroutines-and-green-threads-and-if-that-i
